collection,source_doc,difficulty,question,ground_truth,generated_answer,faithfulness,correctness,faithfulness_reason,correctness_reason
atsb_cs500_co50,AO-2024-064 Final.pdf,easy,"What was the registration number of the Boeing 737-838 that diverted to Canberra due to storms in Sydney, resulting in a passenger loading error?",VH-XZK,The registration number was VH-XZK.,3,3,The registration number VH-XZK is explicitly stated multiple times in the context in relation to the Boeing 737-838 that diverted to Canberra due to storms and experienced the passenger loading error.,The generated answer exactly matches the ground truth answer VH-XZK.
atsb_cs500_co50,AO-2024-064 Final.pdf,easy,How many passengers originally boarded the Boeing 737-838 in Perth before it diverted to Canberra due to storms at Sydney in 2024?,172 passengers,172 passengers originally boarded the Boeing 737-838 in Perth before it diverted to Canberra.,3,3,"The answer is fully supported by the context, which explicitly states there were 172 passengers on board during the flight from Perth to Sydney.","The generated answer matches the ground truth answer exactly, stating 172 passengers boarded in Perth."
atsb_cs500_co50,AO-2024-064 Final.pdf,medium,Why did the flight crew decide to divert to Canberra Airport instead of holding near Sydney?,"Sydney Airport was not accepting arrivals for about one hour due to storms in the vicinity, so rather than holding until the storms cleared, the flight crew diverted to Canberra with the intention of continuing to Sydney once it reopened.",The flight crew diverted to Canberra Airport rather than holding near Sydney because Sydney Airport would not be accepting arrivals for about one hour due to storms in the vicinity.,3,2,"The generated answer is fully supported by the context, which explicitly states the flight crew diverted to Canberra because Sydney Airport would not accept arrivals for about one hour due to storms.",The answer correctly identifies the reason for diversion (storms causing Sydney to not accept arrivals) but omits the detail that they intended to continue to Sydney once it reopened.
atsb_cs500_co50,AO-2024-064 Final.pdf,medium,What procedural changes did Qantas implement regarding communication of loadsheet errors to flight crew?,Qantas revised its procedures for communicating critical flight information to flight crew and will implement a new procedure that allows load control personnel to contact flight crew directly via the aircraft communications addressing and reporting system when a loadsheet error is identified.,"I cannot determine this from the provided context.

The context describes the existing procedure (the LOCO should contact the MOCO in Canberra who would notify the flight crew) and indicates there is a section titled ""What has been done as a result,"" but the actual procedural changes implemented by Qantas are not included in the provided text.",3,0,"The generated answer accurately reflects that the context does not contain information about procedural changes implemented, only describing existing procedures and mentioning a section title without content.",The answer completely fails to provide the ground truth information about Qantas revising procedures and implementing direct communication via aircraft communications addressing and reporting system.
atsb_cs500_co50,AO-2024-064 Final.pdf,hard,"What sequence of system and human failures led to the flight crew receiving an incorrect loadsheet, and why did the error remain uncorrected despite being identified before departure?","A minor data input error (entering the Boeing 717 code instead of Boeing 737 code) resulted in an automatic reduction of 51 passengers in the system. This cascaded through the departure control system where airport personnel used the erroneous data to close the flight, and load control created the incorrect loadsheet. Although airport personnel later identified the issue, they were unable to rectify it and did not advise load control. Load control personnel had concerns about the data validity but issued the loadsheet without resolution. Even after load control identified the error before departure and raised it with airport movement control, communication procedures were not followed and airport personnel were unsuccessful in communicating the error to the flight crew prior to departure.","Based on the provided context, the sequence of failures was:

**System/Data Failure:**
A minor data input error caused an automatic, undetected reduction in passenger numbers, resulting in a loadsheet that understated the aircraft weight by 4,291 kg.

**Human Failures Leading to Issuance:**
Load control personnel issued the erroneous loadsheet to the flight crew despite having ongoing concerns about the validity of the data and not resolving those concerns.

**Communication Failures After Detection:**
The error was identified by load control after issuance but before departure. However, it remained uncorrected because:

1. The load control officer (LOCO) initially attempted mobile phone contact with the captain
2. The flight crew had deselected the ground communication frequency and were not contactable by radio
3. After instructing the customer service agent to contact the flight crew in person, communication procedures were not followed
4. Qantas airport personnel were unsuccessful in communicating the error to the flight crew prior to departure

The flight crew departed and were not informed of the error until after the aircraft had already left Canberra.",3,2,"The generated answer is fully supported by the context, accurately reflecting the system error, human failures in issuance despite concerns, and the multiple communication failures that prevented correction before departure.","The answer is mostly correct and captures the key failures, but omits the specific detail about the Boeing 717/737 code error and does not mention that airport personnel identified the issue but were unable to rectify it and did not advise load control, which was part of the cascading failure sequence in the ground truth."
atsb_cs500_co50,AO-2022-052 Final.pdf,easy,"What was the registration number of the Virgin Australia Boeing 737 that was incorrectly cleared for runway 34L near Armidale on October 19, 2022?",VH-YFT,The registration number was VH-YFT.,3,3,"The answer is directly supported by the context which states 'On 19 October 2022, a Boeing 737-8FE aircraft, registered VH-YFT and operated by Virgin Australia, departed Brisbane' and mentions runway 34L clearance in the same incident.",The generated answer exactly matches the ground truth answer of VH-YFT.
atsb_cs500_co50,AO-2022-052 Final.pdf,easy,What was the flight number of the Virgin Australia Boeing 737 that was incorrectly cleared for runway 34L instead of 16L near Armidale on 19 October 2022?,VA942,"I cannot determine this from the provided context.

The context confirms that on 19 October 2022, a Boeing 737 (VH-YFT) operated by Virgin Australia was incorrectly cleared for runway 34L instead of 16L near Sydney Airport, but the flight number is not mentioned in the provided text.",3,0,"The generated answer accurately states that the flight number is not mentioned in the provided context and correctly identifies details that are present (date, aircraft registration, operator, runway confusion).","The generated answer fails to provide the ground truth flight number VA942, stating it cannot be determined from the context."
atsb_cs500_co50,AO-2022-052 Final.pdf,medium,Why did confusion occur between the crew and ATC regarding the runway assignment?,"The enroute controller verbally issued a clearance for runway 34L, which the crew read back, but runway 16L was actually operational at the time. The error likely occurred due to momentary interference of related information about the assigned flight level (FL 340) and the runway (34L).","Based on the context provided, confusion occurred between the crew and ATC regarding the runway assignment because:

1. An incorrect clearance was verbally communicated to VA942 by the enroute controller (assigning runway 34L)
2. The crew did not fully scrutinize the ATIS information, which indicated that runway 34L was not in operation
3. The crew did not enquire further with ATC about the conflicting runway assignment of 34L until they were transferred to the approach controller
4. When the approach controller correctly instructed them to expect runway 16L, this conflicted with their previous clearance, initially leading to confusion

The confusion was essentially caused by an incorrect initial clearance that conflicted with both the ATIS information and the subsequent correct runway assignment from the approach controller.",3,2,"The generated answer is fully supported by the context, accurately citing the incorrect clearance, ATIS information issues, crew's failure to enquire, and confusion when approach controller provided the correct runway.",The answer correctly identifies the main cause (incorrect clearance for 34L when 16L was operational) but misses the specific detail from the ground truth about the momentary interference between FL 340 and runway 34L that likely caused the error.
atsb_cs500_co50,AO-2022-052 Final.pdf,medium,How did the approach controller respond when the crew questioned the runway assignment?,The approach controller confirmed that runways 16L and 16R were in operation and that 16L had been assigned. They also offered to give the crew extra track miles with vectors if needed to help them descend.,"The approach controller confirmed that runways 16L and 16R were in operation, and that 16L had been assigned. The controller also advised the crew that if they needed extra track miles to adjust, that option was available.",3,3,"The generated answer is fully supported by the context, which explicitly states the approach controller confirmed runways 16L and 16R were in operation, that 16L had been assigned, and offered extra track miles if needed.","The generated answer correctly captures all key elements from the ground truth: confirmation of runways 16L/16R in operation, assignment of 16L, and the offer of extra track miles, with only minor wording differences."
atsb_cs500_co50,AO-2022-052 Final.pdf,hard,How was this air traffic control error prevented from developing into a more serious safety incident?,"Although the enroute controller verbally issued an incorrect runway (34L instead of 16L) which was not caught during read-back/hear-back, the correct information had been entered into the air traffic management system. This allowed the approach controller to identify and rectify the error with the crew well before landing, and the crew subsequently performed a safe independent visual approach to the correct runway 16L.","Based on the context provided, the air traffic control error was prevented from developing into a more serious safety incident because ""air traffic control intervened quickly and appropriately to resolve the risks of each descent below the minimum safe altitude.""",3,0,The generated answer directly quotes information from the provided context about air traffic control intervening quickly and appropriately.,"The generated answer describes a different incident involving descent below minimum safe altitude, while the ground truth describes an incorrect runway assignment error that was caught and corrected by the approach controller."
atsb_cs500_co50,AO-2023-057 Final.pdf,easy,What was the date of the mid-air collision between two SIAI-Marchetti S-211s conducting formation filming over Port Phillip Bay that resulted in fatal injuries?,19-Nov-23,"The mid-air collision occurred on 19 November 2023.

Note: While the context confirms the date and that this was a mid-air collision between two SIAI-Marchetti S-211s conducting formation filming over Port Phillip Bay, I cannot confirm from the provided excerpts that the collision resulted in fatal injuries, though this detail was included in your question.",3,3,"The generated answer is fully supported by the context, which explicitly states the date as '19 November 2023' in multiple places, and the system appropriately notes that fatal injuries are not confirmed in the provided excerpts.","The generated answer provides the exact date (19 November 2023) that matches the ground truth answer (19-Nov-23), with both representing the same date in different formats."
atsb_cs500_co50,AO-2023-057 Final.pdf,easy,What were the callsigns used by VH-DQJ and VH-DZJ during the formation flight?,VH-DQJ was Viper 1 and VH-DZJ was Viper 2,VH-DQJ used the callsign 'Viper 1' and VH-DZJ used the callsign 'Viper 2'. The formation operated under the callsign 'Viper Formation'.,3,3,"The answer is fully supported by the context, which explicitly states that VH-DQJ operated as 'Viper 1', VH-DZJ as 'Viper 2', and the formation used the callsign 'Viper Formation'.","The answer correctly identifies VH-DQJ as Viper 1 and VH-DZJ as Viper 2, matching the ground truth, and includes the additional accurate detail about the formation callsign."
atsb_cs500_co50,AO-2023-057 Final.pdf,medium,What happened to Viper 2 after the collision and what was the outcome for the occupants?,"After the collision, Viper 2 continued to climb and began rolling right, rolled to an inverted attitude, assumed a near-vertical nose-down flight path and impacted the water at high speed. Both occupants were fatally injured.","After the collision, Viper 2's right wing was severely damaged, causing immediate loss of control. The aircraft continued to climb and began rolling right, passing above and behind Viper 1. It rolled to an inverted attitude and quickly assumed a near-vertical, nose-down flight path toward the water, commencing a slow right roll until impacting the water at high speed. Both occupants were fatally injured.",3,3,"The generated answer is fully supported by the context, accurately describing the damage, loss of control, flight path, and fatal outcome for both occupants using information directly from the provided passages.","The generated answer matches the ground truth answer completely, including all key details about the climbing, rolling, inverted attitude, nose-down flight path, water impact, and fatal injuries to both occupants."
atsb_cs500_co50,AO-2023-057 Final.pdf,medium,What was the planned manoeuvre sequence that the crews briefed before the flight?,"Viper 1 would fly inverted, straight and level, while Viper 2, flying upright, would move to the right line abreast position for filming. Viper 2 would start in right echelon position, move rearward to allow Viper 1 room to roll inverted, then move forward and climb or descend to reach the line abreast position at the same altitude.","Based on the provided context, the crews briefed several manoeuvres during the pre-flight briefing, the first of which involved Viper 2 moving into a line abreast position to the right of an inverted Viper 1 for filming. However, the complete planned manoeuvre sequence beyond this first manoeuvre is not detailed in the context provided.",3,1,"The generated answer accurately reflects what is stated in the context, correctly noting that Viper 2 would move into a line abreast position to the right of inverted Viper 1, and appropriately acknowledges that additional details are not provided in the context.","While the generated answer correctly identifies the first maneuver, it is missing significant details about the sequence including Viper 2 starting in right echelon position, moving rearward to allow room for Viper 1 to roll inverted, and then moving forward and climbing/descending to reach the line abreast position."
