collection,source_doc,difficulty,question,expected_answer,match_at_1,match_at_3,match_at_5,top_retrieved_source
atsb_cs200_co50,AO-2024-064 Final.pdf,easy,"What was the registration number of the Boeing 737-838 that diverted to Canberra due to storms in Sydney, resulting in a passenger loading error?",VH-XZK,True,True,True,AO-2024-064 Final.pdf
atsb_cs200_co50,AO-2024-064 Final.pdf,easy,How many passengers originally boarded the Boeing 737-838 in Perth before it diverted to Canberra due to storms at Sydney in 2024?,172 passengers,True,True,True,AO-2024-064 Final.pdf
atsb_cs200_co50,AO-2024-064 Final.pdf,medium,Why did the flight crew decide to divert to Canberra Airport instead of holding near Sydney?,"Sydney Airport was not accepting arrivals for about one hour due to storms in the vicinity, so rather than holding until the storms cleared, the flight crew diverted to Canberra with the intention of continuing to Sydney once it reopened.",True,True,True,AO-2024-064 Final.pdf
atsb_cs200_co50,AO-2024-064 Final.pdf,medium,What procedural changes did Qantas implement regarding communication of loadsheet errors to flight crew?,Qantas revised its procedures for communicating critical flight information to flight crew and will implement a new procedure that allows load control personnel to contact flight crew directly via the aircraft communications addressing and reporting system when a loadsheet error is identified.,True,True,True,AO-2024-064 Final.pdf
atsb_cs200_co50,AO-2024-064 Final.pdf,hard,"What sequence of system and human failures led to the flight crew receiving an incorrect loadsheet, and why did the error remain uncorrected despite being identified before departure?","A minor data input error (entering the Boeing 717 code instead of Boeing 737 code) resulted in an automatic reduction of 51 passengers in the system. This cascaded through the departure control system where airport personnel used the erroneous data to close the flight, and load control created the incorrect loadsheet. Although airport personnel later identified the issue, they were unable to rectify it and did not advise load control. Load control personnel had concerns about the data validity but issued the loadsheet without resolution. Even after load control identified the error before departure and raised it with airport movement control, communication procedures were not followed and airport personnel were unsuccessful in communicating the error to the flight crew prior to departure.",True,True,True,AO-2024-064 Final.pdf
atsb_cs200_co50,AO-2022-052 Final.pdf,easy,"What was the registration number of the Virgin Australia Boeing 737 that was incorrectly cleared for runway 34L near Armidale on October 19, 2022?",VH-YFT,False,False,False,AO-2022-051 Final.pdf
atsb_cs200_co50,AO-2022-052 Final.pdf,easy,What was the flight number of the Virgin Australia Boeing 737 that was incorrectly cleared for runway 34L instead of 16L near Armidale on 19 October 2022?,VA942,False,False,False,AO-2023-022 Final.pdf
atsb_cs200_co50,AO-2022-052 Final.pdf,medium,Why did confusion occur between the crew and ATC regarding the runway assignment?,"The enroute controller verbally issued a clearance for runway 34L, which the crew read back, but runway 16L was actually operational at the time. The error likely occurred due to momentary interference of related information about the assigned flight level (FL 340) and the runway (34L).",True,True,True,AO-2022-052 Final.pdf
atsb_cs200_co50,AO-2022-052 Final.pdf,medium,How did the approach controller respond when the crew questioned the runway assignment?,The approach controller confirmed that runways 16L and 16R were in operation and that 16L had been assigned. They also offered to give the crew extra track miles with vectors if needed to help them descend.,True,True,True,AO-2022-052 Final.pdf
atsb_cs200_co50,AO-2022-052 Final.pdf,hard,How was this air traffic control error prevented from developing into a more serious safety incident?,"Although the enroute controller verbally issued an incorrect runway (34L instead of 16L) which was not caught during read-back/hear-back, the correct information had been entered into the air traffic management system. This allowed the approach controller to identify and rectify the error with the crew well before landing, and the crew subsequently performed a safe independent visual approach to the correct runway 16L.",False,False,True,AO-2023-022 Final.pdf
atsb_cs200_co50,AO-2023-057 Final.pdf,easy,What was the date of the mid-air collision between two SIAI-Marchetti S-211s conducting formation filming over Port Phillip Bay that resulted in fatal injuries?,19-Nov-23,True,True,True,AO-2023-057 Final.pdf
atsb_cs200_co50,AO-2023-057 Final.pdf,easy,What were the callsigns used by VH-DQJ and VH-DZJ during the formation flight?,VH-DQJ was Viper 1 and VH-DZJ was Viper 2,True,True,True,AO-2023-057 Final.pdf
atsb_cs200_co50,AO-2023-057 Final.pdf,medium,What happened to Viper 2 after the collision and what was the outcome for the occupants?,"After the collision, Viper 2 continued to climb and began rolling right, rolled to an inverted attitude, assumed a near-vertical nose-down flight path and impacted the water at high speed. Both occupants were fatally injured.",True,True,True,AO-2023-057 Final.pdf
atsb_cs200_co50,AO-2023-057 Final.pdf,medium,What was the planned manoeuvre sequence that the crews briefed before the flight?,"Viper 1 would fly inverted, straight and level, while Viper 2, flying upright, would move to the right line abreast position for filming. Viper 2 would start in right echelon position, move rearward to allow Viper 1 room to roll inverted, then move forward and climb or descend to reach the line abreast position at the same altitude.",True,True,True,AO-2023-057 Final.pdf
atsb_cs200_co50,AO-2023-057 Final.pdf,hard,What were the multiple regulatory and operational deficiencies that contributed to reducing safety assurance for this flight?,The pilot of Viper 1 had a medical restriction requiring a side-by-side cockpit configuration and a qualified safety pilot which were not being followed; the operator did not hold the required operating certificate to undertake the filming flight; the aircraft were not permitted to be used for that purpose; and the specific manoeuvre where Viper 2 passed directly beneath Viper 1 had not been briefed before the flight.,False,True,True,AO-2023-004 Final.pdf
atsb_cs200_co50,AO-2023-043 Final.pdf,easy,What was the registration number of the Malaysia Airlines aircraft that overran Melbourne Airport's runway 34 during resurfacing works in September 2023?,9M-MTL,True,True,True,AO-2023-043 Final.pdf
atsb_cs200_co50,AO-2023-043 Final.pdf,easy,On what date did the Bamboo Airways Boeing 787-9 overrun runway 34?,18-Sep-23,True,True,True,AO-2023-043 Final.pdf
atsb_cs200_co50,AO-2023-043 Final.pdf,medium,Why did the flight crews of both aircraft use incorrect take-off performance calculations?,"The flight crews did not recognise that reduced runway length operations would be in effect and used the normal, full-length of runway 34 for their take-off performance calculations, resulting in reduced-thrust engine settings that extended the aircraft take-off runs beyond the temporary runway end.",False,False,False,AO-2022-064 Final.pdf
atsb_cs200_co50,AO-2023-043 Final.pdf,medium,What additional factors affected the Bamboo Airways flight crew's ability to review flight information properly?,"The Bamboo Airways flight crew experienced delays and additional workload due to repeated aircraft power outages, which influenced their normal flight information review procedures. Due to perceived time pressures, the crew did not conduct additional review of the NOTAMs after boarding the aircraft.",True,True,True,AO-2023-043 Final.pdf
atsb_cs200_co50,AO-2023-043 Final.pdf,hard,What were the systemic weaknesses across multiple layers of defense that allowed both runway excursions to occur despite different operators being involved?,Multiple defensive layers failed: dispatchers calculated correct performance but didn't highlight the reduced runway length to crews; operators didn't ensure dispatchers knew what information to emphasize; flight crews didn't properly review NOTAMs or detect runway length information in ATIS broadcasts; crews didn't confirm ATIS versions with ATC as required and controllers didn't challenge this; visual cues at the runway were inadequate as lights weren't designed to alert crews and no construction signage was provided; and both Part 139 Manual of Standards and ICAO Annex 14 didn't provide for conspicuous visual aids to alert pilots to significant runway changes.,True,True,True,AO-2023-043 Final.pdf
atsb_cs200_co50,AO-2024-006 Final_Report.pdf,easy,What was the registration number of the Qantas A380 that flew 34 cycles with a tool left in its outboard left engine after maintenance at Los Angeles International Airport in December 2023?,VH-OQI,True,True,True,AO-2024-006 Final_Report.pdf
atsb_cs200_co50,AO-2024-006 Final_Report.pdf,easy,How many flight cycles did the aircraft complete with the tool in the engine?,34 cycles totalling 293.74 hours,True,True,True,AO-2024-006 Final_Report.pdf
atsb_cs200_co50,AO-2024-006 Final_Report.pdf,medium,What actions did LAME 1 take when AME 2 asked if the tools should be returned to the tool store after AME 1 left for a medical appointment?,"LAME 1 advised AME 2 to leave the tools with the aircraft as the afternoon shift would complete the remainder of the task, and then reassigned AME 2 and the support engineer to other tasks.",True,True,True,AO-2024-006 Final_Report.pdf
atsb_cs200_co50,AO-2024-006 Final_Report.pdf,medium,What immediate actions did Qantas Engineering take following the discovery of the tool in the engine on 2 January 2024?,"Qantas Engineering raised an internal incident report with an immediate action to brief staff on the importance of ensuring that all tooling is returned and actioned by tool store personnel. An internal investigation was completed and on 4 March 2024, an internal safety directive was released requiring all employees to meet company tooling control requirements without exception.",True,True,True,AO-2024-006 Final_Report.pdf
atsb_cs200_co50,AO-2024-006 Final_Report.pdf,hard,"How did the combination of personnel changes, handover procedures, and tool tracking system usage contribute to the tool remaining in the engine for 34 flight cycles?","AME 1 signed out the tool but left early for a medical appointment without returning it, with the tool remaining assigned to them. LAME 1 instructed AME 2 to leave tools with the aircraft for the afternoon shift rather than return them. The support engineer who used the turning tool left for rostered days off. Although the tool store personnel identified the unreturned tool at 1500, the lost tool procedure was not commenced prior to aircraft release to service, and the certifying engineer did not follow up on the lost tool before releasing the aircraft. The tool was not located during end-of-task foreign object inspections, allowing the aircraft to fly 34 cycles before the tool was discovered during the next scheduled maintenance check.",True,True,True,AO-2024-006 Final_Report.pdf
atsb_cs200_co50,AO-2023-007 Final.pdf,easy,What was the registration number of the Qantas Boeing 737 that experienced an uncommanded left engine shutdown while flying from Auckland to Sydney on 18 January 2023?,VH-XZB,False,False,True,AO-2024-032-Final.pdf
